country_code_iso3,gdp_per_capita,health_exp,pop_65,pop_female,smoking_females,smoking_males
AFG,520.8966027191353,0.117771938443184,2.58492693988024,48.6358467017121,5.833333333333333,25.166666666666664
ALB,5268.848503559188,0.06880374252796173,13.7447359109736,49.0630945959306,7.1,51.2
DZA,4114.715061368957,0.0637432187795639,6.36249654497986,49.4842678798151,0.7,30.4
AND,42029.76273729893,0.103205524384975,19.40062533594237,51.024733727158164,29,37.8
AGO,3432.3857360089282,0.0279150027781725,2.21637364776329,50.5304629337424,1.8,29.266666666666666
ATG,16726.980807947926,0.0453353188931942,8.79982551980558,51.7884962921418,2.466666666666667,14.933333333333334
ARG,11683.949621636286,0.0912431478500366,11.1177888760774,51.2373484456557,16.2,27.7
ARM,4212.070942729374,0.103627048432827,11.2538176570131,52.9565771522637,1.5,52.1
AUS,57395.919466316685,0.08690043538808823,15.6564752275591,50.1996232411296,13,16.5
AUT,51499.88536140855,0.103966169059277,19.0015664595899,50.8294266482503,28.4,30.9
AZE,4722.381678883348,0.0665182918310165,6.19518275071493,50.1157491047071,0.3,42.5
BHS,32217.87159008401,0.0575888901948929,7.25760235662035,51.4250521866532,3.1,20.4
BHR,24050.757505395646,0.0474810488522053,2.42633387832394,36.3482516056683,5.8,37.6
BGD,1698.2628023354723,0.0227424874901772,5.15839063962068,49.3872966665271,1,44.7
BRB,17949.281505437113,0.0677912682294846,15.8026939621338,51.6728300307005,1.9,14.5
BLR,6330.075246418698,0.0592578575015068,14.8451481743098,53.4560542241486,10.5,46.1
BEL,47472.136730207785,0.10338669270277,18.7887437383395,50.593319387085,25.1,31.4
BLZ,4884.74242133376,0.0564282275736332,4.73645877657144,50.1925230570834,7.066666666666666,30.2
BEN,1240.8294644195398,0.0371858216822147,3.25360529746338,50.098201703347,0.6,12.3
BTN,3243.231125080137,0.0318696238100529,6.00301171280561,47.0026352207594,1.0666666666666667,30.76666666666667
BOL,3548.59013979338,0.0644316077232361,7.19194739218447,49.7833991301085,3.1,17.566666666666666
BIH,6065.6727082415755,0.0893166735768318,16.4703174710621,51.0105360252881,30.2,47.7
BWA,8258.641665746905,0.0613456815481186,4.22387434629301,51.7307604432344,5.7,34.4
BRA,9001.234248634986,0.0946747660636902,8.92283783244003,50.8299167629894,10.1,17.9
BRN,31628.328791434924,0.0237320773303509,4.87314756750582,48.0361805296531,2,30.9
BGR,9271.54563263874,0.0809560343623161,21.021914434268002,51.4140884138516,30.1,44.4
BFA,715.12290404614,0.0691505968570709,2.40698082866355,50.0954815202072,1.6,23.9
BDI,271.7520443766482,0.0751757025718689,2.24694046033717,50.4219946366025,3.1333333333333333,21.766666666666666
CPV,3635.4068498233937,0.0516548864543438,4.60932715666821,49.8190391419807,2.1,16.5
KHM,1510.3248705763974,0.0591884180903435,4.56868001756576,51.1979812668406,2,33.7
CMR,1533.7421397588473,0.0467066690325737,2.72887735524057,50.0034878287467,0.8666666666666667,23.599999999999998
CAN,46234.3507461125,0.105727694928646,17.2320066788651,50.3915299543153,12,16.6
CAF,475.7212505443178,0.0582177564501762,2.82577370666008,50.4364737081782,0.8666666666666667,14.6
TCD,728.3432353592895,0.0448730140924454,2.48051894434901,50.0848994170785,0.7000000000000001,15.633333333333333
CHL,15923.358737538074,0.089835099875927,11.5298016568816,50.7270318390045,34.2,41.5
CHN,9770.847087833143,0.05989373102784157,10.9208835350654,48.6793739572695,1.9,48.4
COL,6667.790699549797,0.0722628086805344,8.47804701986958,50.9257716952294,4.7,13.5
COM,1415.2636223156248,0.073843739926815,3.00700930649436,49.5587044437129,4.4,23.6
COG,2147.769461045938,0.0293027926236391,2.68171953903232,50.0656037730416,1.7,52.3
CRI,12027.365882631564,0.0732879638671875,9.54984767296984,50.0098510974123,6.4,17.4
HRV,14915.372071573584,0.0678913369774818,20.445433012423,51.8526217475815,34.3,39.9
CUB,8821.818891250045,0.117113269865513,15.1862114171521,50.3328498327681,17.1,53.3
CYP,28689.6985789646,0.0668456926941872,13.7190617734483,49.9710744983023,19.6,52.7
CZE,23069.38324543404,0.0723133906722069,19.4208768932343,50.8085889327815,30.5,38.3
CIV,1715.531332126494,0.0445303432643414,2.85894301500285,49.5191195771262,1.7,28.23333333333333
PRK,14258.480696293393,0.05117393657565117,9.33452040978796,51.0938524844571,4.533333333333333,42.06666666666666
COD,561.7771823904247,0.0397872291505337,3.01784062159803,50.0977433863968,2.433333333333333,21.46666666666667
DNK,61390.69300970091,0.101082794368267,19.8129526369902,50.2742027259115,19.3,18.8
DJI,3082.543098719573,0.0331651791930199,4.52757937811482,47.3667854457553,1.7,24.5
DMA,7691.34509727878,0.0587688907980919,8.70602118708806,49.511107101648996,7.066666666666666,30.2
DOM,8050.631601846355,0.0613639503717422,7.08281747649721,50.007796071702,8.5,19.1
ECU,6344.871978500566,0.0825742930173874,7.15728972666108,49.9706251782698,2,12.3
EGY,2549.1322517860917,0.0528763681650162,5.22977934620923,49.4699716435901,0.2,50.1
SLV,4058.2524392811797,0.0722756013274193,8.28709000480629,53.1140024358563,2.5,18.8
GNQ,10144.195810845564,0.0310709420591593,2.45787734677897,44.4558529404125,6.333333333333333,33.733333333333334
ERI,1087.3012690564142,0.0287002343684435,2.852530296822023,50.53212929997773,0.2,11.4
EST,23247.10984304532,0.0642935782670975,19.6263568469749,52.8584268202066,24.5,39.3
ETH,772.3135302613568,0.0350255742669106,3.50113299760986,49.9788884188067,0.4,8.5
FJI,6266.967965280741,0.0350074470043182,5.44968041263952,49.3005014205028,10.2,34.8
